,Date,Close
0,2020-12-31,222.4199981689453
1,2021-01-04,217.69000244140625
2,2021-01-05,217.89999389648438
3,2021-01-06,212.25
4,2021-01-07,218.2899932861328
5,2021-01-08,219.6199951171875
6,2021-01-11,217.49000549316406
7,2021-01-12,214.92999267578125
8,2021-01-13,216.33999633789062
9,2021-01-14,213.02000427246094
10,2021-01-15,212.64999389648438
11,2021-01-19,216.44000244140625
12,2021-01-20,224.33999633789062
13,2021-01-21,224.97000122070312
14,2021-01-22,225.9499969482422
15,2021-01-25,229.52999877929688
16,2021-01-26,232.3300018310547
17,2021-01-27,232.89999389648438
18,2021-01-28,238.92999267578125
19,2021-01-29,231.9600067138672
20,2021-02-01,239.64999389648438
21,2021-02-02,239.50999450683594
22,2021-02-03,243.0
23,2021-02-04,242.00999450683594
24,2021-02-05,242.1999969482422
25,2021-02-08,242.47000122070312
26,2021-02-09,243.77000427246094
27,2021-02-10,242.82000732421875
28,2021-02-11,244.49000549316406
29,2021-02-12,244.99000549316406
30,2021-02-16,243.6999969482422
31,2021-02-17,244.1999969482422
32,2021-02-18,243.7899932861328
33,2021-02-19,240.97000122070312
34,2021-02-22,234.50999450683594
35,2021-02-23,233.27000427246094
36,2021-02-24,234.5500030517578
37,2021-02-25,228.99000549316406
38,2021-02-26,232.3800048828125
39,2021-03-01,236.94000244140625
40,2021-03-02,233.8699951171875
41,2021-03-03,227.55999755859375
42,2021-03-04,226.72999572753906
43,2021-03-05,231.60000610351562
44,2021-03-08,227.38999938964844
45,2021-03-09,233.77999877929688
46,2021-03-10,232.4199981689453
47,2021-03-11,237.1300048828125
48,2021-03-12,235.75
49,2021-03-15,234.80999755859375
50,2021-03-16,237.7100067138672
51,2021-03-17,237.0399932861328
52,2021-03-18,230.72000122070312
53,2021-03-19,230.35000610351562
54,2021-03-22,235.99000549316406
55,2021-03-23,237.5800018310547
56,2021-03-24,235.4600067138672
57,2021-03-25,232.33999633789062
58,2021-03-26,236.47999572753906
59,2021-03-29,235.24000549316406
